Name,A,B,C,D
GH45,0.073106973,0.221988459,0.012424713,0.003407698
PL26,0.075521559,0.06619092,0.077392414,0.089783282
GH43_17,0.080618232,0.064993504,0.086561191,0.075321824
GH30_3,0.082253124,0.058267784,0.087499927,0.075260182
PL3_2,0.051384588,0.233685254,0.013829306,0.000569869
PL32,0.057309596,0.063134539,0.073824649,0.099617391
GH43_3,0.066777398,0.101084803,0.068126763,0.046923835
PL11,0.07290801,0.053867111,0.071114394,0.081446989
GH156,0.060041622,0.051952944,0.075822062,0.081437816
GH13_42,0.095214802,0.067195234,0.055451541,0.046470141
GH93,0.057543557,0.116150256,0.050519108,0.037274011
GH5_46,0.059744741,0.047118867,0.075598488,0.078958839
GH43,0.063036935,0.062892235,0.066985147,0.068430323
PL9_2,0.067381131,0.077350645,0.055384991,0.054759948
CBM57,0.047307755,0.136365157,0.036877587,0.02424494
GH30_5,0.056969773,0.085100344,0.052467264,0.046628081
SLH,0.085374468,0.040706991,0.053867698,0.054636085
AA7,0.064501766,0.049106546,0.05629989,0.061798819
CBM37,0.074829462,0.048676013,0.04910901,0.047761288
AA3_1,0.06685909,0.051835943,0.049830494,0.047600451
GH13_7,0.053322041,0.047696704,0.051495897,0.058465118
CBM74,0.066760789,0.105356954,0.025539025,0.012694767
GH65,0.07098209,0.042573122,0.048020268,0.044189924
GH13_5,0.095929867,0.045862056,0.035600479,0.026512865
CBM16,0.053645337,0.042558059,0.048107383,0.056630149
GH142,0.046870459,0.04189384,0.054915904,0.05529502
GH5_37,0.075298638,0.040747518,0.040405431,0.041803867
GT2_Glyco_tranf_2_5,0.059186427,0.041635199,0.057341505,0.039924819
GH148,0.038993314,0.04956931,0.054395095,0.049322678
GH55,0.04708116,0.059045882,0.041886263,0.035626691
GH5_13,0.042156919,0.041772536,0.046800261,0.050345977
GH66,0.045958097,0.040092236,0.05059061,0.044225771
PL6,0.054546368,0.070587244,0.035496461,0.019663737
GH144,0.043575486,0.048801397,0.043745073,0.043614822
GT17,0.03250192,0.091170149,0.037669338,0.016892444
GH124,0.059675885,0.051476626,0.035341408,0.030157454
GH11,0.040512515,0.100647462,0.021048209,0.014084341
GH5_26,0.046138971,0.035178615,0.049005356,0.040519678
CBM40,0.040557137,0.036320782,0.045103296,0.045277563
GH87,0.037934577,0.08966861,0.023374398,0.010374006
GH137,0.036101851,0.032740031,0.042975192,0.049244772
GH128,0.042556713,0.039452272,0.040150073,0.038682534
CBM62,0.0309517,0.070558546,0.031593118,0.027654924
GH13_19,0.058479689,0.038313631,0.035473373,0.028373394
GT2_Glyco_tranf_2_2,0.042219491,0.049018767,0.037274449,0.031160012
CE13,0.053569978,0.039771382,0.032419689,0.033293246
PL29,0.022046476,0.054832392,0.036358038,0.043898997
GH13_29,0.06052104,0.033494865,0.04031634,0.022671305
CBM34,0.053296891,0.03504762,0.037481108,0.031061715
CBM22,0.039928576,0.038985858,0.033344548,0.044333088
GH5_1,0.039175994,0.090356028,0.014368849,0.011562781
CBM79,0.03198062,0.110297662,0.005684785,0.000389669
GH5_27,0.029694331,0.105309216,0.012068425,0.000968467
GH110,0.030255916,0.030860507,0.0443117,0.041749834
GT76,0.045308372,0.044561779,0.027113278,0.02874709
GT101,0.028673625,0.08096835,0.022314187,0.012509281
GH129,0.033651864,0.026635061,0.043612203,0.03714079
